epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,779.188,2.19929,3.7122,1.77126,0.47511,0.05214,0.03453,0.01171,2.3274,3.62395,1.77216,0.000275209,0.000275209,0.000275209
2,1480.81,2.13086,2.78308,1.64781,0.54456,0.15815,0.10807,0.04086,2.18047,2.89454,1.80163,0.000534631,0.000534631,0.000534631
3,2216.94,2.1167,2.61293,1.6362,0.47329,0.17954,0.05506,0.01948,2.34148,5.25221,1.91462,0.000775727,0.000775727,0.000775727
4,3169.51,2.12,2.49545,1.64968,0.6609,0.11745,0.09625,0.03753,2.20489,2.65294,1.77847,0.000750533,0.000750533,0.000750533
5,4153.13,2.09332,2.39778,1.61198,0.52791,0.16248,0.12102,0.04981,2.17838,2.48609,1.77774,0.000723044,0.000723044,0.000723044
6,5186.89,2.04993,2.30234,1.57932,0.65312,0.12623,0.12559,0.04398,2.19856,2.78464,1.73528,0.000695555,0.000695555,0.000695555
7,6067.39,2.00982,2.21722,1.54897,0.52471,0.1739,0.14844,0.05832,2.07446,2.33907,1.69644,0.000668066,0.000668066,0.000668066
8,6743.09,1.96373,2.17577,1.53389,0.54736,0.2149,0.15036,0.06156,2.12473,2.30404,1.70015,0.000640577,0.000640577,0.000640577
9,7413.79,1.96208,2.1458,1.52643,0.5805,0.19961,0.15202,0.06631,2.04312,2.18656,1.65306,0.000613088,0.000613088,0.000613088
10,8087.76,1.93479,2.07708,1.51244,0.55674,0.20309,0.1601,0.06814,2.07008,2.30992,1.68634,0.000585599,0.000585599,0.000585599
11,8759.77,1.92641,2.05421,1.50214,0.62096,0.21374,0.17927,0.0787,1.98593,2.09906,1.59717,0.00055811,0.00055811,0.00055811
12,9608.69,1.90281,2.01084,1.4836,0.55108,0.20641,0.17868,0.07882,1.97964,2.13093,1.61859,0.000530621,0.000530621,0.000530621
13,10675.4,1.88939,1.97668,1.46843,0.58329,0.21816,0.18057,0.07809,2.00395,2.04254,1.64464,0.000503132,0.000503132,0.000503132
14,1141.73,1.8471,1.93671,1.45392,0.58477,0.22036,0.19759,0.08877,1.99472,2.02459,1.61126,0.000475643,0.000475643,0.000475643
15,1948.92,1.85766,1.9189,1.44904,0.62701,0.23986,0.22816,0.09633,1.98682,1.97879,1.58052,0.000448154,0.000448154,0.000448154
16,2641.69,1.81725,1.87085,1.42634,0.64172,0.22998,0.22055,0.0938,1.99821,1.98452,1.60303,0.000420665,0.000420665,0.000420665
17,3343.39,1.80792,1.81466,1.42725,0.61669,0.22002,0.21151,0.09241,1.95407,1.89879,1.54926,0.000393176,0.000393176,0.000393176
18,4022.56,1.80602,1.80719,1.4184,0.65424,0.23646,0.23786,0.10888,1.93149,1.87895,1.56931,0.000365687,0.000365687,0.000365687
19,4699.09,1.78499,1.79096,1.40013,0.63087,0.22987,0.21964,0.09469,1.96214,1.99498,1.56263,0.000338198,0.000338198,0.000338198
20,5374.44,1.76991,1.74255,1.38958,0.67122,0.24099,0.24453,0.10976,1.93675,1.85113,1.54834,0.000310709,0.000310709,0.000310709
21,6049.16,1.83086,1.69886,1.44359,0.50467,0.26236,0.24472,0.1078,1.91924,1.88416,1.5778,0.00028322,0.00028322,0.00028322
22,6799.98,1.78943,1.6336,1.41901,0.53422,0.23502,0.24509,0.1137,1.89532,1.82475,1.52554,0.000255731,0.000255731,0.000255731
23,7639.44,1.7849,1.60798,1.41435,0.5153,0.26752,0.25568,0.1163,1.87749,1.76931,1.53411,0.000228242,0.000228242,0.000228242
24,8773.56,1.74601,1.57026,1.38806,0.5211,0.27433,0.25834,0.1194,1.89766,1.76301,1.53861,0.000200753,0.000200753,0.000200753
25,9829.19,1.74682,1.53817,1.38401,0.65179,0.26652,0.26414,0.12452,1.87283,1.73003,1.51625,0.000173264,0.000173264,0.000173264
26,10937.7,1.72808,1.513,1.3704,0.65759,0.28148,0.2637,0.12135,1.89743,1.73499,1.51603,0.000145775,0.000145775,0.000145775
27,12024.5,1.71394,1.47675,1.35963,0.55529,0.27428,0.2803,0.13087,1.87426,1.69971,1.52048,0.000118286,0.000118286,0.000118286
28,699.25,1.69357,1.46639,1.34449,0.70515,0.27455,0.28505,0.1322,1.86061,1.66181,1.49882,9.0797e-05,9.0797e-05,9.0797e-05
29,1449.16,1.68511,1.43209,1.33775,0.70018,0.2835,0.28584,0.1341,1.85177,1.6661,1.49861,6.3308e-05,6.3308e-05,6.3308e-05
30,2215.38,1.6615,1.41085,1.33583,0.71605,0.2768,0.29019,0.13779,1.85541,1.64788,1.49898,3.5819e-05,3.5819e-05,3.5819e-05
