Space,Status,Overlap
1,Occupied,0.2
2,Occupied,0.16
3,Occupied,0.63
4,Occupied,0.37
5,Occupied,0.59
6,Free,0.13
7,Free,0.07
8,Free,0.14
9,Free,0
10,Occupied,0.47
11,Occupied,0.32
12,Occupied,0.33
13,Occupied,0.28
14,Free,0.14
15,Occupied,0.63
16,Occupied,0.38
17,Occupied,0.5
18,Free,0
19,Occupied,0.25
20,Occupied,0.29
21,Occupied,0.33
22,Free,0.09
23,Occupied,0.27
24,Occupied,0.23
25,Free,0.13
26,Free,0
27,Occupied,0.35
28,Occupied,0.33
29,Occupied,0.22
30,Occupied,0.29
31,Occupied,0.32
32,Occupied,0.49
33,Occupied,0.34
34,Occupied,0.28
35,Occupied,0.43
36,Occupied,0.44
37,Occupied,0.32
38,Occupied,0.52
39,Free,0
40,Free,0
41,Free,0
42,Free,0.03
43,Free,0.03
44,Free,0.01
45,Free,0.04
46,Free,0.01
47,Free,0
48,Free,0
49,Free,0
50,Occupied,0.42
51,Occupied,0.34
52,Free,0
53,Occupied,0.7
54,Occupied,0.63
55,Occupied,0.47
56,Occupied,0.54
57,Occupied,0.66
58,Occupied,0.72
59,Free,0
60,Free,0.03
61,Free,0.01
62,Free,0.1
63,Free,0
64,Free,0.06
